Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
0,87.00875,0.789,88.01603,0.789
1,87.0095,0.59,88.0168,0.59
2,87.0475,1.3,88.0548,1.3
3,87.0476,0.82,88.0549,0.82
4,88.04039,1.002,89.04767,1.002
5,88.0404,0.787,89.04767,0.787
6,88.0407,0.776666667,89.048,0.776666667
7,88.98808,22.957,89.99536,22.957
8,89.02442,0.764,90.0317,0.764
9,89.0263,0.63,90.0336,0.63
10,89.0272,0.578333333,90.0345,0.578333333
11,89.0272,0.578333333,90.0345,0.578333333
12,91.04006,18.403,92.04734,18.403
13,91.04007,19.071,92.04735,19.071
14,92.93272,0.759,93.93999,0.759
15,93.0384,6.231666667,94.0457,6.231666667
16,94.0318,0.846666667,95.0391,0.846666667
17,94.0319,1.476666667,95.0392,1.476666667
18,94.92496,0.712,95.93224,0.712
19,94.92506,18.594,95.93234,18.594
20,96.90697,0.648,97.91424,0.648
21,96.96014,0.651,97.96741,0.651
22,96.96015,22.847,97.96743,22.847
23,96.96948,0.658,97.97676,0.658
24,96.96968,17.058,97.97696,17.058
25,96.98478,0.652,97.99206,0.652
26,96.98692,0.651,97.99419,0.651
27,97.08706,0.665,98.09434,0.665
28,97.97581,0.656,98.98309,0.656
29,99.9258,22.93,100.93308,22.93
30,100.98557,0.778,101.99285,0.778
31,100.98557,0.853,101.99285,0.853
32,101.0266,0.72,102.0339,0.72
33,101.0625,1.985,102.0698,1.985
34,101.063,1.091666667,102.0703,1.091666667
35,102.0203,0.66,103.0276,0.66
36,102.05595,0.672,103.06322,0.672
37,102.05596,0.791,103.06324,0.791
38,102.0592,0.638333333,103.0665,0.638333333
39,102.95686,0.765,103.96414,0.765
40,103.0037,22.952,104.01098,22.952
41,103.04005,0.838,104.04732,0.838
42,103.041,0.675,104.0483,0.675
43,103.041,0.675,104.0483,0.675
44,103.041,0.675,104.0483,0.675
45,103.042,0.561666667,104.0493,0.561666667
46,103.043,0.74,104.0503,0.74
47,104.03535,0.759,105.04262,0.759
48,105.0214,0.603333333,106.0287,0.603333333
49,105.0761,0.63,106.0834,0.63
50,105.0761,0.63,106.0834,0.63
51,107.0503,9.148333333,108.0576,9.148333333
52,108.0475,4.171666667,109.0548,4.171666667
53,109.0306,3.238333333,110.0379,3.238333333
54,109.04066,0.813,110.04794,0.813
55,110.0274,0.701666667,111.0347,0.701666667
56,110.0374,0.725,111.0447,0.725
57,110.97566,0.785,111.98294,0.785
58,111.00642,0.763,112.01369,0.763
59,111.0087,0.607,112.01597,0.607
60,111.0087,0.608,130.02654,0.608
61,111.01993,1.101,112.0272,1.101
62,111.01997,1.537,112.02724,1.537
63,111.0219,0.74,112.0292,0.74
64,112.05161,1.069,113.05888,1.069
65,112.0539,0.9,113.0612,0.9
66,112.98556,0.779,113.99283,0.779
67,112.98556,0.935,113.99283,0.935
68,113.02446,0.78,114.03174,0.78
69,113.02447,0.781,132.04231,0.781
70,113.098,17.6,114.1053,17.6
71,114.05598,0.825,115.06325,0.825
72,114.05602,0.824,133.07386,0.824
73,114.0584,0.64,115.0657,0.64
74,114.95443,0.757,115.96171,0.757
75,115.00122,22.932,116.0085,22.932
76,115.0032,0.61,116.0105,0.61
77,115.00367,0.667,116.01095,0.667
78,115.0062,0.6,116.0135,0.6
79,115.0407,0.756666667,116.048,0.756666667
80,115.0417,0.755,116.049,0.755
81,115.07636,6.918,116.08364,6.918
82,115.0777,4.291666667,116.085,4.291666667
83,115.079,4.498333333,116.0863,4.498333333
84,115.9207,22.893,116.92798,22.893
85,116.05054,4.126,117.05781,4.126
86,116.07161,1.076,117.07889,1.076
87,116.07162,0.928,117.0789,0.928
88,116.0727,0.741666667,117.08,0.741666667
89,116.073,0.783333333,117.0803,0.783333333
90,116.0733,0.721666667,117.0806,0.721666667
91,116.0733,0.721666667,117.0806,0.721666667
92,116.92855,22.935,117.93583,22.935
93,116.95953,0.875,117.96681,0.875
94,116.97254,0.761,117.97982,0.761
95,117.01924,0.632,118.02652,0.632
96,117.05568,1.066,118.06296,1.066
97,117.0561,0.756666667,118.0634,0.756666667
98,117.0577,0.79,118.065,0.79
99,117.0587,0.781666667,118.066,0.781666667
100,118.0506,0.706666667,119.0579,0.706666667
101,118.05099,0.768,119.05826,0.768
102,118.051,0.705,119.0583,0.705
103,118.94202,22.847,119.9493,22.847
104,118.95148,0.751,119.95875,0.751
105,118.9999,0.556666667,120.0072,0.556666667
106,119.0353,2.285,120.0426,2.285
107,119.05013,1.473,120.05741,1.473
108,119.05014,1.107,120.05742,1.107
109,119.051,17.91333333,120.0583,17.91333333
110,119.94701,0.738,120.95428,0.738
111,120.07559,4.059,121.08287,4.059
112,120.0771,4.01,121.0844,4.01
113,121.0306,1.868333333,122.0379,1.868333333
114,121.031,6.483333333,122.0383,6.483333333
115,121.068,11.16,122.0753,11.16
116,121.0686,4.38,122.0759,4.38
117,121.08189,4.06,122.08916,4.06
118,122.0274,2.771666667,123.0347,2.771666667
119,122.96758,0.867,141.98542,0.867
120,122.9676,0.781,123.97487,0.781
121,122.9676,0.86,123.97487,0.86
122,123.0439,7.266666667,124.0512,7.266666667
123,123.0466,8.386666667,124.0539,8.386666667
124,123.047,4.815,124.0543,4.815
125,123.0471,5.343333333,124.0544,5.343333333
126,123.0471,6.861666667,124.0544,6.861666667
127,124.00733,18.646,125.01461,18.646
128,124.0074,0.898,125.01468,0.898
129,124.00742,0.761,125.01469,0.761
130,124.0102,0.655,125.0175,0.655
131,124.0102,0.655,125.0175,0.655
132,125.00114,0.751,126.00841,0.751
133,125.0263,0.941666667,126.0336,0.941666667
134,125.03566,3.764,126.04294,3.764
135,125.0495,0.698333333,126.0568,0.698333333
136,126.06087,2.203,127.06814,2.203
137,126.9973,9.243333333,128.0046,9.243333333
138,126.9977,10.365,128.005,10.365
139,127.00136,0.773,128.00863,0.773
140,127.0154,0.698333333,128.0227,0.698333333
141,128.03316,0.763,129.04043,0.763
142,128.03529,0.672,129.04257,0.672
143,128.03532,0.793,129.0426,0.793
144,128.0369,0.755,129.0442,0.755
145,128.07167,1.066,129.07895,1.066
146,128.0738,0.808333333,129.0811,0.808333333
147,128.52728,0.606,129.53456,0.606
148,128.97015,0.758,129.97743,0.758
149,128.97253,0.766,129.97981,0.766
150,129.01701,0.761,130.02429,0.761
151,129.0179,0.62,130.0252,0.62
152,129.02,0.813333333,130.0273,0.813333333
153,129.0554,3.39,130.0627,3.39
154,129.05565,3.31,130.06293,3.31
155,129.05566,3.487,130.06294,3.487
156,129.0557,3.066666667,130.063,3.066666667
157,129.0564,2.78,130.0637,2.78
158,129.0571,3.323333333,130.0644,3.323333333
159,129.0571,3.323333333,130.0644,3.323333333
160,129.54074,0.808,130.54802,0.808
161,130.04782,1.011,131.0551,1.011
162,130.05095,0.817,131.05823,0.817
163,130.05096,0.656,131.05824,0.656
164,130.05096,0.684,131.05824,0.684
165,130.052,0.923333333,131.0593,0.923333333
166,130.0526,0.698333333,131.0599,0.698333333
167,130.0531,0.75,131.0604,0.75
168,130.0621,0.813,131.06938,0.813
169,130.0678,11.91,131.0751,11.91
170,130.08719,1.408,131.09447,1.408
171,130.08719,1.618,131.09447,1.618
172,130.0884,0.943333333,131.0957,0.943333333
173,130.0888,1.366666667,131.0961,1.366666667
174,130.089,1.286666667,131.0963,1.286666667
175,130.089,1.425,131.0963,1.425
176,130.089,1.425,131.0963,1.425
177,130.089,1.451666667,131.0963,1.451666667
178,130.089,1.508333333,131.0963,1.508333333
179,130.94418,22.904,131.95146,22.904
180,130.96956,0.764,131.97684,0.764
181,130.9752,22.953,131.98248,22.953
182,131.0352,0.52,132.0425,0.52
183,131.0368,0.6,132.0441,0.6
184,131.0477,0.655,132.055,0.655
185,131.0485,0.671666667,132.0558,0.671666667
186,131.05412,0.791,132.0614,0.791
187,131.05414,1.014,132.06141,1.014
188,131.0724,0.768333333,132.0797,0.768333333
189,131.0731,7.57,132.0804,7.57
190,131.08263,0.776,132.0899,0.776
191,131.0847,0.68,132.092,0.68
192,131.9834,0.753,132.99068,0.753
193,132.01244,1.003,133.01971,1.003
194,132.03018,0.672,133.03746,0.672
195,132.0315,0.58,133.0388,0.58
196,132.92058,0.736,133.92785,0.736
197,132.92061,0.692,133.92789,0.692
198,132.94629,0.676,133.95357,0.676
199,133.014,0.61,134.0213,0.61
200,133.01414,0.635,134.02142,0.635
201,133.01416,0.675,134.02144,0.675
202,133.01428,22.939,134.02156,22.939
203,133.0157,0.6,134.023,0.6
204,133.0157,0.6,134.023,0.6
205,133.0512,0.683333333,134.0585,0.683333333
206,133.106,1.577,134.11328,1.577
207,133.106,1.692,134.11328,1.692
208,134.04715,1.113,135.05443,1.113
209,134.04715,4.096,135.05443,4.096
210,134.04716,1.638,135.05444,1.638
211,134.0495,2.431666667,135.0568,2.431666667
212,134.06108,1.108,135.06836,1.108
213,134.0624,7.193333333,135.0697,7.193333333
214,134.89465,1.009,135.90193,1.009
215,134.89467,18.599,135.90195,18.599
216,134.92575,0.757,135.93303,0.757
217,135.02991,0.685,136.03718,0.685
218,135.02992,0.746,136.0372,0.746
219,135.0327,0.781666667,136.04,0.781666667
220,135.0372,8.76,136.0445,8.76
221,135.0466,3.996666667,136.0539,3.996666667
222,135.0466,3.996666667,136.0539,3.996666667
223,135.0583,4.225,136.0656,4.225
224,135.0588,5.591666667,136.0661,5.591666667
225,135.0664,0.74,136.0737,0.74
226,135.0828,13.08666667,136.0901,13.08666667
227,136.0476,0.851666667,137.0549,0.851666667
228,136.0787,3.238333333,137.086,3.238333333
229,136.0791,2.61,137.0864,2.61
230,136.91766,0.681,137.92494,0.681
231,136.94951,0.996,137.95679,0.996
232,136.96204,0.673,101.99264,0.673
233,136.9621,0.678,137.96937,0.678
234,137.0249,5.49,138.0322,5.49
235,137.0254,2.986666667,138.0327,2.986666667
236,137.0263,0.725,138.0336,0.725
237,137.0268,0.875,138.0341,0.875
238,137.0362,8.525,138.0435,8.525
239,137.037,7.063333333,138.0443,7.063333333
240,137.0374,6.318333333,138.0447,6.318333333
241,137.0631,5.558333333,138.0704,5.558333333
242,137.09715,11.208,138.10443,11.208
243,138.0207,4.396666667,139.028,4.396666667
244,138.0209,7.788333333,139.0282,7.788333333
245,138.0217,0.673333333,139.029,0.673333333
246,138.10362,8.63,139.1109,8.63
247,138.9798,0.588333333,139.9871,0.588333333
248,139.05133,0.85,140.05861,0.85
249,140.0127,0.553333333,141.02,0.553333333
250,140.03297,0.773,141.04025,0.773
251,140.0832,0.693333333,141.0905,0.693333333
252,140.91927,18.598,141.92654,18.598
253,140.91934,0.957,141.92662,0.957
254,140.91939,0.752,141.92666,0.752
255,140.91939,1.047,141.92666,1.047
256,140.91943,0.89,141.92671,0.89
257,140.93376,18.59,141.94104,18.59
258,140.93381,0.758,159.95165,0.758
259,140.96559,1.01,141.97287,1.01
260,141.0127,12.59666667,142.02,12.59666667
261,141.0193,0.548333333,142.0266,0.548333333
262,141.0324,0.636666667,142.0397,0.636666667
263,141.06693,0.81,142.0742,0.81
264,141.0926,8.863333333,142.0999,8.863333333
265,141.12854,15.054,142.13582,15.054
