Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
0,72.0823,0.77,71.075,0.77
1,74.0612,0.99,73.0539,0.99
2,74.0966,0.77,73.0893,0.77
3,77.0399,0.84,76.0326,0.84
4,81.053,0.75,80.0457,0.75
5,86.09637,1.224,85.0891,1.224
6,86.09639,1.125,85.08911,1.125
7,87.0459,1.113333333,86.0386,1.113333333
8,87.09168,23.781,86.08441,23.781
9,87.09168,27.604,86.08441,27.604
10,87.09171,24.875,86.08444,24.875
11,88.07569,28.935,87.06841,28.935
12,88.1125,2.135,87.1052,2.135
13,88.50909,29.008,87.50181,29.008
14,89.10734,0.714,88.10006,0.714
15,89.50675,29.017,176.99895,29.017
16,89.50675,29.311,176.99895,29.311
17,89.50679,29.122,176.99903,29.122
18,90.055,0.805,89.04772,0.805
19,90.05505,1.012,89.04778,1.012
20,90.0566,0.78,89.0493,0.78
21,90.09138,28.992,89.08411,28.992
22,90.52585,29.009,89.51857,29.009
23,90.52589,0.643,179.03724,0.643
24,90.97661,28.903,89.96933,28.903
25,90.97673,0.71,89.96945,0.71
26,91.00591,29.007,179.99727,29.007
27,91.00863,29.012,180.0027,29.012
28,91.0531,1.22,90.0458,1.22
29,91.0542,1.011,90.04692,1.011
30,91.05421,1.012,108.05749,1.012
31,91.05422,1.607,90.04695,1.607
32,91.50465,29.01,180.99475,29.01
33,93.06988,1.597,92.0626,1.597
34,93.50392,29.012,92.49664,29.012
35,94.04508,29.005,186.07561,29.005
36,94.04509,0.637,186.07563,0.637
37,94.05254,25.176,93.04527,25.176
38,94.05254,25.297,93.04527,25.297
39,94.05254,28.754,93.04527,28.754
40,94.05255,25.334,93.04527,25.334
41,94.05255,25.37,111.05584,25.37
42,95.0145,0.96,94.0072,0.96
43,95.04911,0.854,94.04183,0.854
44,95.04911,1.612,94.04183,1.612
45,95.0607,0.72,94.0534,0.72
46,96.0433,1.06,95.036,1.06
47,96.0464,0.738333333,95.0391,0.738333333
48,96.0557,0.7,95.0484,0.7
49,96.08073,1.012,95.07346,1.012
50,96.92178,24.48,95.91451,24.48
51,96.92183,0.763,95.91455,0.763
52,97.07603,23.828,96.06876,23.828
53,97.07603,25.421,96.06875,25.421
54,97.07603,26.283,96.06875,26.283
55,97.07603,26.591,96.06876,26.591
56,97.07603,27.367,96.06876,27.367
57,97.07604,24.09,96.06877,24.09
58,97.07606,25.014,96.06878,25.014
59,97.07606,25.159,96.06878,25.159
60,97.07606,28.038,96.06878,28.038
