Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
0,87.00875,0.789,88.01603,0.789
1,88.04039,1.002,89.04767,1.002
2,88.0404,0.787,89.04767,0.787
3,88.98808,22.957,89.99536,22.957
4,89.02442,0.764,90.0317,0.764
5,91.04006,18.403,92.04734,18.403
6,91.04007,19.071,92.04735,19.071
7,92.93272,0.759,93.93999,0.759
8,94.92496,0.712,95.93224,0.712
9,94.92506,18.594,95.93234,18.594
10,96.90697,0.648,97.91424,0.648
11,96.96014,0.651,97.96741,0.651
12,96.96015,22.847,97.96743,22.847
13,96.96948,0.658,97.97676,0.658
14,96.96968,17.058,97.97696,17.058
15,96.98478,0.652,97.99206,0.652
16,96.98692,0.651,97.99419,0.651
17,97.08706,0.665,98.09434,0.665
18,97.97581,0.656,98.98309,0.656
19,99.9258,22.93,100.93308,22.93
20,100.98557,0.778,101.99285,0.778
21,100.98557,0.853,101.99285,0.853
22,102.05595,0.672,103.06322,0.672
23,102.05596,0.791,103.06324,0.791
24,102.95686,0.765,103.96414,0.765
25,103.0037,22.952,104.01098,22.952
26,103.04005,0.838,104.04732,0.838
27,104.03535,0.759,105.04262,0.759
28,109.04066,0.813,110.04794,0.813
29,110.97566,0.785,111.98294,0.785
30,111.00642,0.763,112.01369,0.763
31,111.0087,0.607,112.01597,0.607
32,111.0087,0.608,130.02654,0.608
33,111.01993,1.101,112.0272,1.101
34,111.01997,1.537,112.02724,1.537
35,112.05161,1.069,113.05888,1.069
36,112.98556,0.779,113.99283,0.779
37,112.98556,0.935,113.99283,0.935
38,113.02446,0.78,114.03174,0.78
39,113.02447,0.781,132.04231,0.781
40,114.05598,0.825,115.06325,0.825
41,114.05602,0.824,133.07386,0.824
42,114.95443,0.757,115.96171,0.757
43,115.00122,22.932,116.0085,22.932
44,115.00367,0.667,116.01095,0.667
45,115.07636,6.918,116.08364,6.918
46,115.9207,22.893,116.92798,22.893
47,116.05054,4.126,117.05781,4.126
48,116.07161,1.076,117.07889,1.076
49,116.07162,0.928,117.0789,0.928
50,116.92855,22.935,117.93583,22.935
51,116.95953,0.875,117.96681,0.875
52,116.97254,0.761,117.97982,0.761
53,117.01924,0.632,118.02652,0.632
54,117.05568,1.066,118.06296,1.066
55,118.05099,0.768,119.05826,0.768
56,118.94202,22.847,119.9493,22.847
57,118.95148,0.751,119.95875,0.751
58,119.05013,1.473,120.05741,1.473
59,119.05014,1.107,120.05742,1.107
60,119.94701,0.738,120.95428,0.738
61,120.07559,4.059,121.08287,4.059
62,121.08189,4.06,122.08916,4.06
63,122.96758,0.867,141.98542,0.867
64,122.9676,0.781,123.97487,0.781
65,122.9676,0.86,123.97487,0.86
66,124.00733,18.646,125.01461,18.646
67,124.0074,0.898,125.01468,0.898
68,124.00742,0.761,125.01469,0.761
69,125.00114,0.751,126.00841,0.751
70,125.03566,3.764,126.04294,3.764
71,126.06087,2.203,127.06814,2.203
72,127.00136,0.773,128.00863,0.773
73,128.03316,0.763,129.04043,0.763
74,128.03529,0.672,129.04257,0.672
75,128.03532,0.793,129.0426,0.793
76,128.07167,1.066,129.07895,1.066
77,128.52728,0.606,129.53456,0.606
78,128.97015,0.758,129.97743,0.758
79,128.97253,0.766,129.97981,0.766
80,129.01701,0.761,130.02429,0.761
81,129.05565,3.31,130.06293,3.31
82,129.05566,3.487,130.06294,3.487
83,129.54074,0.808,130.54802,0.808
84,130.04782,1.011,131.0551,1.011
85,130.05095,0.817,131.05823,0.817
86,130.05096,0.656,131.05824,0.656
87,130.05096,0.684,131.05824,0.684
88,130.0621,0.813,131.06938,0.813
89,130.08719,1.408,131.09447,1.408
90,130.08719,1.618,131.09447,1.618
91,130.94418,22.904,131.95146,22.904
92,130.96956,0.764,131.97684,0.764
93,130.9752,22.953,131.98248,22.953
94,131.05412,0.791,132.0614,0.791
95,131.05414,1.014,132.06141,1.014
96,131.08263,0.776,132.0899,0.776
97,131.9834,0.753,132.99068,0.753
98,132.01244,1.003,133.01971,1.003
99,132.03018,0.672,133.03746,0.672
100,132.92058,0.736,133.92785,0.736
101,132.92061,0.692,133.92789,0.692
102,132.94629,0.676,133.95357,0.676
103,133.01414,0.635,134.02142,0.635
104,133.01416,0.675,134.02144,0.675
105,133.01428,22.939,134.02156,22.939
106,133.106,1.577,134.11328,1.577
107,133.106,1.692,134.11328,1.692
108,134.04715,1.113,135.05443,1.113
109,134.04715,4.096,135.05443,4.096
110,134.04716,1.638,135.05444,1.638
111,134.06108,1.108,135.06836,1.108
112,134.89465,1.009,135.90193,1.009
113,134.89467,18.599,135.90195,18.599
114,134.92575,0.757,135.93303,0.757
115,135.02991,0.685,136.03718,0.685
116,135.02992,0.746,136.0372,0.746
117,136.91766,0.681,137.92494,0.681
118,136.94951,0.996,137.95679,0.996
119,136.96204,0.673,101.99264,0.673
120,136.9621,0.678,137.96937,0.678
121,137.09715,11.208,138.10443,11.208
122,138.10362,8.63,139.1109,8.63
123,139.05133,0.85,140.05861,0.85
124,140.03297,0.773,141.04025,0.773
125,140.91927,18.598,141.92654,18.598
126,140.91934,0.957,141.92662,0.957
127,140.91939,0.752,141.92666,0.752
128,140.91939,1.047,141.92666,1.047
129,140.91943,0.89,141.92671,0.89
130,140.93376,18.59,141.94104,18.59
131,140.93381,0.758,159.95165,0.758
132,140.96559,1.01,141.97287,1.01
133,141.06693,0.81,142.0742,0.81
134,141.12854,15.054,142.13582,15.054
135,142.04858,0.806,143.05586,0.806
136,142.05092,2.864,143.0582,2.864
137,142.06616,4.127,143.07344,4.127
138,142.99617,0.78,144.00345,0.78
139,143.035,0.779,144.04228,0.779
140,143.04617,0.811,144.05345,0.811
141,143.91562,22.926,144.9229,22.926
142,144.06664,0.858,145.07391,0.858
143,144.103,8.095,145.11027,8.095
144,144.10301,3.595,145.11029,3.595
145,144.96751,0.761,109.99811,0.761
146,144.97546,0.781,145.98274,0.781
147,144.97546,0.869,145.98274,0.869
148,145.01419,0.659,146.02147,0.659
149,145.99916,0.755,147.00644,0.755
150,146.04582,0.673,147.0531,0.673
151,146.04582,0.774,147.0531,0.774
152,146.08223,0.999,147.08951,0.999
153,146.09126,4.062,147.09854,4.062
154,146.98312,0.749,147.9904,0.749
155,147.01213,2.053,148.01941,2.053
156,147.04515,3.292,148.05243,3.292
157,148.00742,0.859,149.01469,0.859
158,148.04039,1.45,149.04767,1.45
159,148.04369,1.263,149.05096,1.263
160,148.0437,1.204,149.05098,1.204
161,148.04375,1.103,149.05102,1.103
162,148.05841,0.672,149.06569,0.672
163,148.07066,5.291,149.07794,5.291
164,148.07623,1.108,149.08351,1.108
165,148.8945,0.742,149.90178,0.742
166,148.93105,1.285,149.93832,1.285
167,148.95244,1.29,149.95971,1.29
168,148.98611,1.287,149.99339,1.287
169,149.06462,0.672,150.0719,0.672
170,149.07687,7.822,150.08415,7.822
171,150.01726,0.791,151.02453,0.791
172,150.05608,2.692,151.06335,2.692
173,150.88667,0.71,151.89395,0.71
174,150.96252,22.992,151.9698,22.992
175,150.97775,0.675,151.98503,0.675
176,150.99895,0.766,152.00622,0.766
177,150.99895,0.769,170.01679,0.769
178,151.02614,1.057,152.03341,1.057
179,151.07639,13.259,152.08366,13.259
180,152.04417,0.811,153.05145,0.811
181,152.07645,3.237,153.08372,3.237
182,152.53456,0.598,307.08368,0.598
183,152.53462,0.607,153.5419,0.607
184,152.53464,0.81,153.54191,0.81
185,152.88368,0.706,153.89096,0.706
186,153.017,0.778,154.02427,0.778
187,153.06702,0.805,172.08486,0.805
188,153.06702,0.858,154.07429,0.858
189,154.01231,0.765,155.01959,0.765
190,154.02773,0.748,155.035,0.748
191,154.04866,0.797,155.05594,0.797
192,154.06219,0.813,155.06947,0.813
193,154.09705,0.819,155.10432,0.819
