Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
0,86.09637,1.224,85.0891,1.224
1,86.09639,1.125,85.08911,1.125
2,87.09168,23.781,86.08441,23.781
3,87.09168,27.604,86.08441,27.604
4,87.09171,24.875,86.08444,24.875
5,88.07569,28.935,87.06841,28.935
6,88.50909,29.008,87.50181,29.008
7,89.10734,0.714,88.10006,0.714
8,89.50675,29.017,176.99895,29.017
9,89.50675,29.311,176.99895,29.311
10,89.50679,29.122,176.99903,29.122
11,90.055,0.805,89.04772,0.805
12,90.05505,1.012,89.04778,1.012
13,90.09138,28.992,89.08411,28.992
14,90.52585,29.009,89.51857,29.009
15,90.52589,0.643,179.03724,0.643
16,90.97661,28.903,89.96933,28.903
17,90.97673,0.71,89.96945,0.71
18,91.00591,29.007,179.99727,29.007
19,91.00863,29.012,180.0027,29.012
20,91.0542,1.011,90.04692,1.011
21,91.05421,1.012,108.05749,1.012
22,91.05422,1.607,90.04695,1.607
23,91.50465,29.01,180.99475,29.01
24,93.06988,1.597,92.0626,1.597
25,93.50392,29.012,92.49664,29.012
26,94.04508,29.005,186.07561,29.005
27,94.04509,0.637,186.07563,0.637
28,94.05254,25.176,93.04527,25.176
29,94.05254,25.297,93.04527,25.297
30,94.05254,28.754,93.04527,28.754
31,94.05255,25.334,93.04527,25.334
32,94.05255,25.37,111.05584,25.37
33,95.04911,0.854,94.04183,0.854
34,95.04911,1.612,94.04183,1.612
35,96.08073,1.012,95.07346,1.012
36,96.92178,24.48,95.91451,24.48
37,96.92183,0.763,95.91455,0.763
38,97.07603,23.828,96.06876,23.828
39,97.07603,25.421,96.06875,25.421
40,97.07603,26.283,96.06875,26.283
41,97.07603,26.591,96.06876,26.591
42,97.07603,27.367,96.06876,27.367
43,97.07604,24.09,96.06877,24.09
44,97.07606,25.014,96.06878,25.014
45,97.07606,25.159,96.06878,25.159
46,97.07606,28.038,96.06878,28.038
47,97.07606,28.756,96.06878,28.756
48,97.51439,29.017,96.50711,29.017
49,97.99137,0.659,96.98409,0.659
50,98.01361,29.009,97.00633,29.009
51,98.51203,29.019,195.00951,29.019
52,98.51204,29.13,195.00953,29.13
53,98.91889,0.766,97.91162,0.766
54,98.98419,0.862,97.97692,0.862
55,98.98421,1.062,97.97693,1.062
56,99.05526,24.522,98.04798,24.522
57,99.05526,25.63,98.04798,25.63
58,99.05526,25.85,98.04798,25.85
59,99.05526,26.515,98.04798,26.515
60,99.05526,27.217,98.04798,27.217
61,99.05526,28.116,98.04798,28.116
62,99.05527,24.616,98.048,24.616
63,99.05527,24.806,98.048,24.806
64,99.05527,24.923,98.048,24.923
65,99.05527,25.263,98.048,25.263
66,99.05527,25.396,98.048,25.396
67,99.05527,25.581,98.048,25.581
68,99.05527,26.035,98.048,26.035
69,99.05527,26.236,98.048,26.236
70,99.05527,26.323,98.048,26.323
71,99.05527,26.419,98.048,26.419
72,99.05527,27.605,98.048,27.605
73,99.05527,28.461,98.048,28.461
74,99.05527,28.652,98.048,28.652
75,99.05527,28.758,98.048,28.758
76,99.05529,25.349,98.04801,25.349
77,99.05529,25.485,98.04801,25.485
78,99.05529,26.78,98.04801,26.78
79,99.05529,27.89,98.04801,27.89
80,99.05531,25.138,98.04803,25.138
81,99.05531,25.943,98.04803,25.943
82,99.09163,26.846,98.08435,26.846
83,99.09164,25.592,98.08437,25.592
84,99.09164,25.629,98.08437,25.629
85,99.09164,25.848,98.08436,25.848
86,99.09164,28.123,98.08436,28.123
87,99.09165,28.758,98.08438,28.758
88,100.01118,29.009,198.00782,29.009
89,100.02435,0.64,99.01707,0.64
90,100.06309,25.388,99.05581,25.388
91,100.06309,28.514,99.05581,28.514
92,100.06309,28.629,99.05581,28.629
93,100.06311,25.621,99.05583,25.621
94,100.06312,27.821,99.05584,27.821
95,100.06312,28.96,99.05584,28.96
96,100.07569,1.741,99.06841,1.741
97,100.11205,2.254,99.10477,2.254
98,100.50999,29.011,199.00542,29.011
99,101.02516,0.64,100.01789,0.64
100,101.02518,0.642,118.02847,0.642
101,102.02189,0.645,101.01461,0.645
102,102.02191,0.644,119.0252,0.644
103,102.03386,29.008,202.05317,29.008
104,102.03386,29.107,202.05317,29.107
105,102.04633,1.609,119.04961,1.609
106,102.04635,1.606,101.03907,1.606
107,102.05495,1.009,101.04768,1.009
108,102.11514,0.582,202.21573,0.582
109,102.12772,0.857,101.12044,0.857
110,102.12772,0.977,101.12044,0.977
111,102.50919,29.012,101.50192,29.012
112,103.05827,1.02,102.051,1.02
113,104.05282,1.005,86.01899,1.005
114,104.05284,2.949,103.04556,2.949
115,104.07059,0.802,103.06331,0.802
116,104.07059,1.044,103.06331,1.044
117,104.10695,16.707,103.09967,16.707
118,104.10696,24.444,103.09968,24.444
119,105.00336,0.658,103.99608,0.658
120,105.01599,29.033,208.01743,29.033
121,105.0423,28.969,104.03503,28.969
122,106.00412,0.657,104.99684,0.657
123,106.07302,1.564,105.06574,1.564
124,106.95061,0.707,105.94334,0.707
125,107.00082,0.643,105.99355,0.643
126,107.04909,1.602,106.04181,1.602
127,107.0491,1.005,106.04183,1.005
128,107.07644,1.563,124.07973,1.563
129,108.08265,1.569,107.07537,1.569
