ID,m/z,RT,ID,Name,Grade,Formula,Sim1,Sim2,Adduct,MS2_ID,Match_Seed,Level,Score
0,86.09637,1.224,C20809,['(R)-2-Methylpyrrolidine'],2,C5H11N,0.4,0.33,-,225,OSI00243,3,0.54
0,86.09637,1.224,C20809,['(R)-2-Methylpyrrolidine'],1,C5H11N,0.4,0.79,-,225,HMDB0029615,5,0.68
1,86.09639,1.125,C20809,['(R)-2-Methylpyrrolidine'],2,C5H11N,0.4,0.34,-,240,OSI00243,3,0.49
1,86.09639,1.125,C20809,['(R)-2-Methylpyrrolidine'],1,C5H11N,0.4,0.73,-,240,HMDB0029615,5,0.61
2,87.09168,23.781,-,-,-,-,-,-,-,-1,-,-,-
3,87.09168,27.604,-,-,-,-,-,-,-,-1,-,-,-
4,87.09171,24.875,-,-,-,-,-,-,-,-1,-,-,-
5,88.07569,28.935,-,-,-,-,-,-,-,503,-,-,-
6,88.50909,29.008,-,-,-,-,-,-,-,568,-,-,-
7,89.10734,0.714,C00134,['Putrescine'],1,C4H12N2,0.47,0.66,-,645,OSI01239,2,0.59
7,89.10734,0.714,C02896,"['""alpha', 'omega-Diamine""']",1,C4H12N2,0.47,0.66,-,645,OSI01239,2,0.59
8,89.50675,29.017,-,-,-,-,-,-,-,681,-,-,-
9,89.50675,29.311,-,-,-,-,-,-,-,681,-,-,-
10,89.50679,29.122,-,-,-,-,-,-,-,681,-,-,-
11,90.055,0.805,C00041,['L-Alanine'],2,C3H7NO2,0.6,0.49,-,747,OSI00502,1,0.69
11,90.055,0.805,C00099,['beta-Alanine'],2,C3H7NO2,0.44,0.49,-,747,OSI00502,1,0.67
11,90.055,0.805,C00133,['D-Alanine'],2,C3H7NO2,0.6,0.49,-,747,OSI00502,1,0.69
11,90.055,0.805,C01401,['Alanine'],2,C3H7NO2,0.6,0.49,-,747,OSI00502,1,0.69
11,90.055,0.805,C00213,['Sarcosine'],2,C3H7NO2,0.4,0.35,-,747,OSI00335,2,0.58
11,90.055,0.805,C00213,['Sarcosine'],1,C3H7NO2,0.47,0.51,-,747,OSI00350,2,0.65
11,90.055,0.805,C00041,['L-Alanine'],1,C3H7NO2,0.63,0.54,-,747,OSI00514,2,0.72
11,90.055,0.805,C00133,['D-Alanine'],1,C3H7NO2,0.63,0.54,-,747,OSI00514,2,0.72
11,90.055,0.805,C01401,['Alanine'],1,C3H7NO2,0.63,0.54,-,747,OSI00514,2,0.72
11,90.055,0.805,OSI01525,['(R)-(+)-Lactamide'],2,C3H7NO2,0.4,0.48,-,747,C00349,2,0.64
12,90.05505,1.012,C00099,['beta-Alanine'],1,C3H7NO2,0.44,0.6,-,836,OSI00502,1,0.51
12,90.05505,1.012,C00213,['Sarcosine'],2,C3H7NO2,0.4,0.41,-,836,OSI00335,2,0.5
12,90.05505,1.012,C00213,['Sarcosine'],1,C3H7NO2,0.47,0.57,-,836,OSI00350,2,0.57
12,90.05505,1.012,OSI01525,['(R)-(+)-Lactamide'],1,C3H7NO2,0.4,0.64,-,836,C00349,2,0.53
13,90.09138,28.992,-,-,-,-,-,-,-,-1,-,-,-
14,90.52585,29.009,-,-,-,-,-,-,-,-1,-,-,-
15,90.52589,0.643,-,-,-,-,-,-,-,-1,-,-,-
16,90.97661,28.903,-,-,-,-,-,-,-,-1,-,-,-
17,90.97673,0.71,-,-,-,-,-,-,-,-1,-,-,-
18,91.00591,29.007,-,-,-,-,-,-,-,-1,-,-,-
19,91.00863,29.012,-,-,-,-,-,-,-,-1,-,-,-
20,91.0542,1.011,-,-,-,-,-,-,-,1012,-,-,-
21,91.05421,1.012,-,-,-,-,-,-,-,1012,-,-,-
22,91.05422,1.607,-,-,-,-,-,-,-,1012,-,-,-
23,91.50465,29.01,-,-,-,-,-,-,-,-1,-,-,-
24,93.06988,1.597,-,-,-,-,-,-,-,1019,-,-,-
25,93.50392,29.012,-,-,-,-,-,-,-,1020,-,-,-
26,94.04508,29.005,-,-,-,-,-,-,-,1027,-,-,-
27,94.04509,0.637,-,-,-,-,-,-,-,1025,-,-,-
28,94.05254,25.176,-,-,-,-,-,-,-,-1,-,-,-
29,94.05254,25.297,-,-,-,-,-,-,-,-1,-,-,-
30,94.05254,28.754,-,-,-,-,-,-,-,1027,-,-,-
31,94.05255,25.334,-,-,-,-,-,-,-,-1,-,-,-
32,94.05255,25.37,-,-,-,-,-,-,-,-1,-,-,-
33,95.04911,0.854,-,-,-,-,-,-,-,-1,-,-,-
34,95.04911,1.612,-,-,-,-,-,-,-,-1,-,-,-
35,96.08073,1.012,-,-,-,-,-,-,-,-1,-,-,-
36,96.92178,24.48,-,-,-,-,-,-,-,1327,-,-,-
37,96.92183,0.763,-,-,-,-,-,-,-,1317,-,-,-
38,97.07603,23.828,-,-,-,-,-,-,-,-1,-,-,-
39,97.07603,25.421,-,-,-,-,-,-,-,-1,-,-,-
40,97.07603,26.283,-,-,-,-,-,-,-,-1,-,-,-
41,97.07603,26.591,-,-,-,-,-,-,-,-1,-,-,-
42,97.07603,27.367,-,-,-,-,-,-,-,-1,-,-,-
43,97.07604,24.09,-,-,-,-,-,-,-,-1,-,-,-
44,97.07606,25.014,-,-,-,-,-,-,-,-1,-,-,-
45,97.07606,25.159,-,-,-,-,-,-,-,-1,-,-,-
46,97.07606,28.038,-,-,-,-,-,-,-,-1,-,-,-
47,97.07606,28.756,-,-,-,-,-,-,-,-1,-,-,-
48,97.51439,29.017,-,-,-,-,-,-,-,1735,-,-,-
49,97.99137,0.659,-,-,-,-,-,-,-,-1,-,-,-
50,98.01361,29.009,-,-,-,-,-,-,-,2033,-,-,-
51,98.51203,29.019,-,-,-,-,-,-,-,2508,-,-,-
